"soc","onet_element_id","onet_rating_value"
"11-1021","4.A.3.b.4",1.83
"11-1021","4.A.3.b.5",1.89
"11-1021","1.A.2.b.2",1.5
"11-1021","1.A.3.a.1",1.5
"11-1021","1.A.3.a.3",1.12
"11-1021","1.A.3.a.4",2.12
"11-1021","1.A.3.b.1",1.62
"11-1021","1.A.3.c.1",1.25
"11-1021","1.A.3.c.3",1.5
"11-1021","1.A.3.c.4",1.38
"11-1021","4.A.3.a.1",2.11
"11-1021","4.C.2.d.1.d",2.53
"11-1021","4.C.2.d.1.h",1.96
"11-1021","2.B.2.i",3.62
"11-1021","2.B.4.e",3.62
"11-1021","2.B.4.h",3.12
"11-1021","4.A.2.b.1",4.33
"11-1021","4.C.3.a.2.a",4.53
"11-1021","4.C.3.a.2.b",4.92
"11-1021","4.C.3.a.4",4.81
"11-1021","2.B.5.b",3
"11-1021","2.B.5.c",3.12
"11-1021","4.A.2.b.5",3.81
"11-1021","4.A.2.b.6",4.2
"11-1021","4.A.4.c.3",3.86
"11-1021","2.A.1.f",1.5
"11-1021","2.C.4.b",1.98
"11-1021","2.C.4.c",1.91
"11-1021","2.C.4.d",1.21
"11-1021","1.A.1.a.1",4
"11-1021","1.A.1.a.3",4
"11-1021","1.A.4.b.4",3.62
"11-1021","1.A.4.b.5",3.88
"11-1021","2.A.1.b",4
"11-1021","2.A.1.d",4
"11-1021","2.C.9.b",2.39
"11-1021","4.C.1.a.2.c",2.46
"11-1021","1.A.1.a.2",4
"11-1021","1.A.1.a.4",4
"11-1021","2.A.1.a",4
"11-1021","2.A.1.c",3.5
"11-1021","4.A.4.a.1",3.72
"11-1031","1.C.4.a",4.21
"11-1031","1.C.4.b",4.43
"11-1031","1.C.4.c",4.35
"11-1031","2.A.2.b",3.75
"11-1031","4.A.2.b.3",4.31
"11-1031","2.B.3.e",1.75
"11-1031","2.C.3.a",3.82
"11-1031","4.A.3.b.1",4.17
"11-1031","4.A.3.b.6",3.6
"11-1031","4.C.1.a.2.h",4.97
"11-1031","1.A.1.b.2",3.75
"11-1031","1.C.7.a",4.05
"11-1031","2.C.7.c",1.7
"11-1031","4.A.2.b.2",4.32
"11-1031","1.A.1.b.4",4.12
"11-1031","1.A.1.b.5",4
"11-1031","1.C.7.b",4.7
"11-1031","2.A.2.a",4.38
"11-1031","2.B.3.a",3.12
"11-1031","2.B.4.g",4.12
"11-1031","4.A.2.a.4",4.38
"11-1031","2.C.1.e",4.39
"11-1031","4.A.4.a.6",3.81
"11-1031","4.A.4.a.8",3.9
"11-1031","4.C.1.b.1.f",4.33
"11-1031","4.C.1.d.1",3.86
"11-1031","4.C.1.d.2",3.24
"11-1031","1.A.1.g.1",3
"11-1031","1.C.5.b",4.44
"11-1031","4.C.3.a.1",3.02
"11-1031","4.C.3.b.4",4.47
"11-1031","1.A.2.a.3",1.5
"11-1031","1.A.2.b.1",1.75
"11-1031","1.A.2.c.2",1.38
"11-1031","4.C.2.d.1.g",2.17
"11-1031","1.C.3.b",4.5
"11-1031","1.C.3.c",3.95
"11-1031","2.B.1.a",4.12
"11-1031","2.B.1.f",3.12
"11-1031","4.A.4.a.4",4.8
"11-1031","4.A.4.a.5",3.31
"11-1031","1.C.2.b",4.97
"11-1031","2.B.5.d",4.25
"11-1031","4.A.4.b.1",4.1
"11-1031","4.A.4.b.2",4.63
"11-1031","4.A.4.b.3",4.01
"11-1031","4.A.4.b.4",4.74
"11-1031","4.A.4.b.5",4.71
"11-1031","4.C.1.c.2",4.7
"11-1031","1.A.1.c.1",3.25
"11-1031","1.A.1.c.2",3.12
"11-1031","2.A.1.e",3.25
"11-1031","2.C.4.a",3.6
"11-1031","2.B.3.c",1.12
"11-1031","2.B.3.d",1
"11-1031","2.B.3.h",1.88
"11-1031","2.B.3.j",1
"11-1031","2.B.3.k",1.5
"11-1031","2.B.3.l",1
"11-1031","2.C.3.e",2.1
"11-1031","4.A.3.a.3",2.04
"11-1031","4.A.3.a.4",2.67
"11-1031","4.A.3.b.4",1.21
"11-1031","4.A.3.b.5",1.45
"11-1031","1.A.2.b.2",1.75
"11-1031","1.A.3.a.1",1
"11-1031","1.A.3.a.3",1.25
"11-1031","1.A.3.a.4",1.38
"11-1031","1.A.3.b.1",1
"11-1031","1.A.3.c.1",1
"11-1031","1.A.3.c.3",1
"11-1031","1.A.3.c.4",1
"11-1031","4.A.3.a.1",1.96
"11-1031","4.C.2.d.1.d",1.72
"11-1031","4.C.2.d.1.h",1.47
"11-1031","2.B.2.i",4.38
"11-1031","2.B.4.e",4.75
"11-1031","2.B.4.h",4.25
"11-1031","4.A.2.b.1",4.85
"11-1031","4.C.3.a.2.a",4.75
"11-1031","4.C.3.a.2.b",4.59
"11-1031","4.C.3.a.4",4.95
"11-1031","2.B.5.b",4.25
"11-1031","2.B.5.c",4
"11-1031","4.A.2.b.5",3.83
"11-1031","4.A.2.b.6",4.53
"11-1031","4.A.4.c.3",4.11
"11-1031","2.A.1.f",1.62
